AccommodationAmenityID,AccommodationID,AmenityID
1,1,16
2,2,18
3,3,16
4,4,9
5,5,16
6,6,1
7,7,20
8,8,10
9,9,9
10,10,18
11,11,19
12,12,18
13,13,8
14,14,7
15,15,3
16,16,20
17,17,1
18,18,5
19,19,16
20,20,12
21,21,8
22,22,10
23,23,12
24,24,12
25,25,12
26,26,15
27,27,19
28,28,5
29,29,13
30,30,6
31,31,16
32,32,17
33,33,4
34,34,5
35,35,18
36,36,2
37,37,3
38,38,9
39,39,10
40,40,18
41,41,18
42,42,14
43,43,10
44,44,19
45,45,15
46,46,16
47,47,15
48,48,15
49,49,4
50,50,15
51,17,13
52,31,4
53,8,12
54,19,11
55,50,7
56,45,8
57,7,5
58,37,10
59,4,20
60,28,9
61,5,4
62,22,3
63,8,8
64,3,4
65,21,5
66,24,20
67,39,5
68,6,2
69,39,15
70,41,2
71,40,3
72,27,2
73,7,1
74,27,5
75,31,1
76,5,7
77,31,13
78,34,4
79,28,16
80,40,1
81,1,18
82,12,15
83,41,13
84,4,11
85,41,3
86,36,1
87,8,1
88,19,2
89,27,11
90,11,1
91,31,5
92,41,10
93,25,3
94,12,11
95,34,2
96,25,19
97,9,8
98,4,19
99,3,20
100,40,4
101,5,10
102,47,6
103,35,6
104,28,10
105,13,12
106,11,16
107,9,6
108,41,8
109,28,2
110,28,7
111,50,9
112,21,1
113,23,9
114,28,20
115,12,16
116,22,18
117,36,8
118,42,17
119,16,4
120,25,18
121,38,17
122,46,14
123,4,17
124,45,6
125,8,4
126,48,8
127,24,5
128,9,11
129,42,2
130,49,11
131,33,18
132,24,8
133,11,11
134,10,1
135,14,11
136,32,14
137,50,19
138,17,20
139,47,10
140,39,12
141,5,15
142,23,6
143,42,20
144,26,12
145,30,20
146,37,6
147,44,13
148,8,20
149,27,10
150,15,18
151,31,8
152,8,17
153,40,6
