AccommodationID,HostID,Title,Description,Address,CityID,CountryID,PricePerNight,AvailabilityStatus,PropertyType,NumberOfBedrooms,NumberOfBathrooms,SquareFootage,Neighborhood,HostRating,AccommodationRating,RegistrationDate,LastUpdated
1,78,Accommodation 1,"Author none student. Foot see marriage century. Early that wear suddenly area.
Lawyer brother boy provide remain happy ask. Economic front add chance. Rest citizen feel happy itself.",3323 Ross Via,53,20,380.94,available,apartment,3,1,665,Solisville,2.5,3.0,2021-01-09,2024-04-11 04:06:37.320035
2,37,Accommodation 2,Speech tax when significant in know. How worker wait population modern those political. Cultural enter serve life.,21371 Baker Station,33,6,61.76,available,apartment,3,1,2858,New Taylorbury,4.0,4.6,2020-06-15,2024-11-09 19:13:49.727690
3,118,Accommodation 3,"Feel college stop our. Look near drug media charge.
Probably money morning play her few product administration. Grow example very current. Time control feeling. Enter every every.",795 Michael Lane,49,2,135.0,unavailable,boathouse,3,3,827,New Deborahside,5.0,3.0,2024-04-21,2024-02-18 22:49:33.648515
4,80,Accommodation 4,Start music everything actually may. Action final find build stop thing watch. Quite least try whole lead I. Lot trade bit box drug example.,417 Brooks Isle Suite 428,45,1,98.8,unavailable,villa,4,3,2899,,2.9,3.9,2023-02-01,2024-07-25 22:19:47.940330
5,61,Accommodation 5,"East eye everything most out daughter reason. Wrong without field recognize effort commercial serious.
Soon cost business public. Direction fight go especially.",3498 Edward Drive,20,4,409.14,unavailable,studio,2,1,1703,Matthewmouth,3.2,3.2,2022-07-05,2024-12-16 05:39:04.040263
6,100,Accommodation 6,"White smile fine world Republican city mission maintain. Mouth believe whole activity painting off.
Another court western daughter camera. Thousand where professor they party even from rate.",8846 Angela Union,39,10,118.14,available,cabin,4,3,2326,Joneshaven,3.1,2.9,2020-04-12,2024-09-08 02:56:25.814001
7,86,Accommodation 7,Pressure southern writer possible oil his morning half. One similar daughter make hold. Minute structure everything here voice.,6858 Vincent Knoll,1,13,184.3,unavailable,cabin,2,2,1761,,4.2,4.6,2022-12-01,2024-09-07 18:47:42.800355
8,71,Accommodation 8,"Out fire as democratic.
Account see less ask professional. Sure network along major.
Rate region artist pass serious. Capital prove his boy teacher. Give service stand kitchen computer deep media ok.",26701 Valerie View,14,18,469.6,available,house,5,1,2165,Georgeville,4.8,4.7,2023-10-14,2024-06-18 12:20:21.051011
9,51,Accommodation 9,"Pm health since moment ask style imagine. Fire building this executive bill.
Civil glass door result consumer teach point. Adult become back effort send organization through.",9937 Andrew Square Apt. 169,11,7,455.89,unavailable,villa,5,1,375,,3.1,4.7,2022-05-28,2024-07-02 19:05:23.367738
10,95,Accommodation 10,Happen court other church enter could. Yourself night appear young finally trade bank.,3483 Shannon Hills Suite 536,10,4,140.28,unavailable,apartment,2,3,2358,New Cassandra,3.0,4.7,2021-10-18,2024-01-25 22:06:50.696571
11,115,Accommodation 11,Meeting many force show. Must so everything close research place dinner their.,2750 Heather Ports,22,15,482.87,unavailable,villa,4,3,1031,Markfurt,4.7,3.4,2024-02-29,2024-07-22 05:03:28.702028
12,31,Accommodation 12,"Officer from box almost military though none. Question left although mouth. Though that stand media wind sign.
Difference body report its. Feeling treat although collection official claim.",128 Roberts Square,49,4,364.81,unavailable,cabin,5,2,2689,,3.3,3.6,2021-02-25,2024-10-24 01:56:43.648046
13,46,Accommodation 13,"Cut place generation per. Former capital course reason thought computer. Growth floor development.
Week along glass cover window law far. Push beyond each expect realize whom court.",254 Dennis Extensions,50,18,447.42,available,studio,2,3,2235,Moodyton,2.7,4.8,2023-09-28,2024-10-16 15:34:53.217199
14,72,Accommodation 14,"Build nearly always beautiful himself. After media remember huge receive soon.
Gas determine meeting explain billion. Receive decade character.",11188 Huber Curve Suite 035,59,5,260.42,unavailable,apartment,4,3,1331,North Erikabury,3.1,3.5,2021-05-29,2024-07-27 05:04:58.927665
15,32,Accommodation 15,"Base record bed risk remain. Give him chair open me open throughout.
Find audience raise writer. Sit play idea. Stop character not forget.",6362 Nathan Throughway Apt. 298,50,8,96.48,available,house,1,1,2028,,3.2,3.5,2023-11-04,2024-05-09 20:08:12.344293
16,93,Accommodation 16,Usually follow break. Reduce soldier maybe pressure. Idea city else model left certainly air. Might remain such kid free play store.,687 Richard Ridge,26,5,342.23,available,villa,5,3,2353,West Ashley,2.9,3.5,2021-01-31,2024-11-11 18:02:08.100799
17,46,Accommodation 17,Teach better the. Senior simple language show writer daughter amount. Likely bank reality attention human political hour.,66769 Jones Grove Suite 378,5,8,114.49,available,studio,5,1,642,East Feliciaville,5.0,4.7,2024-11-26,2024-04-17 20:25:46.434257
18,57,Accommodation 18,"American toward generation black man late direction for. Suddenly site shoulder tell.
Too door mention think join. Common spring stand rate enjoy. Pattern various two wonder key.",13469 Michael Village,31,8,67.81,available,apartment,2,3,1364,Lake Matthew,3.1,3.9,2020-06-27,2024-11-28 15:21:56.507418
19,66,Accommodation 19,"Party quite car almost.
Weight leave voice. Mention leave bag them.
Daughter nothing economic plan sort system wife. Then detail standard will parent measure second.",63050 Kelly Via Suite 875,25,14,148.37,unavailable,studio,3,2,2398,,4.1,3.2,2020-02-09,2024-01-05 12:37:18.013852
20,76,Accommodation 20,"Whose population sister ball simple voice. Kind son fear very.
Chance fund eat. Popular politics Republican court science.",125 Alyssa Lake,54,16,372.22,available,house,5,2,2725,Stephanieberg,4.2,3.7,2021-07-18,2024-11-23 02:55:35.245085
21,108,Accommodation 21,"Lot decide manager mind detail sister. Gun act kind shake hundred company quite.
Difficult try he they contain include. Able produce cause remain.",512 Chloe Causeway Apt. 907,10,6,274.92,available,cabin,4,1,1705,West Kevin,2.9,4.6,2021-09-22,2024-10-22 09:27:15.152616
22,40,Accommodation 22,Decision face air area likely experience crime. Bar also certainly only year true. Heavy certain every writer. Carry go add resource sign after.,702 Ramirez Stream Suite 515,48,16,408.03,unavailable,house,5,2,2322,New Raymond,3.0,3.0,2022-11-20,2024-11-23 15:46:42.547542
23,53,Accommodation 23,"Air remember ground. Policy improve political behavior.
Set growth Mrs watch staff claim professional building. Eat among apply send nothing wonder look.",45343 Herring Fort,58,16,284.85,unavailable,apartment,3,2,394,Everettfort,2.6,3.8,2022-07-11,2024-06-20 17:49:33.299028
24,107,Accommodation 24,"Run defense world poor. Trouble scientist trial explain environment play policy.
Wrong head current actually. Expert nice on hard.
Theory many put. Full evening land way him message one.",2734 Owens Track Suite 203,13,11,451.89,available,studio,4,2,2220,Holmesfurt,2.8,4.9,2023-11-17,2024-08-22 05:08:33.556213
25,52,Accommodation 25,Medical friend analysis. Seven who work drop nearly. Raise could agreement show take wife describe.,889 Francisco Grove,5,4,62.12,available,house,4,3,1623,Wrightmouth,3.8,4.9,2024-12-17,2024-10-19 20:36:09.169172
26,91,Accommodation 26,"Although early majority nearly position relate choice. News human admit star.
Young market newspaper each politics but professional. Common word born me order send. Interesting quickly now quite.",60393 Mark Plaza,45,16,212.35,available,cabin,2,3,1752,,4.0,4.3,2021-12-28,2024-06-08 06:05:52.527168
27,101,Accommodation 27,"Community agreement Republican help.
Door research north gun music first check kitchen. Good where data without strong. Expert work bag start mother put provide.",8755 Christine Street Apt. 663,48,2,357.42,unavailable,cabin,1,2,418,East Harold,2.6,2.6,2022-10-09,2024-06-15 15:10:32.766865
28,70,Accommodation 28,Certain maintain if month building see data. Follow find quality close after window. Life ask product.,31726 West Lake Suite 556,6,10,341.83,unavailable,boathouse,1,1,2134,,4.3,2.7,2024-01-20,2024-11-30 10:40:56.992620
29,28,Accommodation 29,"Case entire mouth any we. Act degree where. Food woman report another expect. Move cold senior these probably.
Room behind specific decide idea. Area tax energy whose stage.",14123 Andrew Plains Apt. 295,11,9,496.66,available,apartment,4,1,861,Lake Kathrynland,3.5,2.9,2021-02-28,2024-12-17 19:29:59.912352
30,56,Accommodation 30,Together baby her consumer cause. Involve environment almost number customer least. Prove dream store different. Area blue simple card show risk above state.,129 Galvan Street,21,3,171.51,unavailable,house,5,3,2988,,3.3,3.8,2024-08-20,2024-04-12 23:56:30.749479
31,42,Accommodation 31,Simple since open spend think some wide.,46133 Edwards Cliff,5,19,496.02,available,cabin,4,1,404,,2.5,4.9,2022-05-31,2024-08-21 18:57:31.007297
32,40,Accommodation 32,"Hand score bad design. Contain weight feel head approach machine federal.
Develop wide prepare Democrat member. Edge international stuff voice oil affect. Actually investment must.",54353 Scott Track Apt. 560,22,1,80.58,available,house,5,3,2025,,3.0,3.5,2023-01-20,2024-05-13 13:45:11.570554
33,21,Accommodation 33,Letter smile thing white rate sometimes identify send. Well might right half drive successful language.,238 Dennis Mills,6,1,422.72,unavailable,villa,2,2,548,Lake Jerry,2.6,3.4,2020-10-29,2024-08-27 17:56:32.070979
34,83,Accommodation 34,Painting hope indicate body activity. Example above Republican material major foreign accept. Business another ago now course newspaper reason.,7615 Hayes Drive,2,17,388.29,unavailable,boathouse,5,1,2330,Port Michaelmouth,3.6,3.9,2021-04-12,2024-01-30 18:25:37.103922
35,72,Accommodation 35,"Environment true investment. Energy rest level less once bag beat.
Plan bring this. Apply too argue herself.",533 Walsh Branch Apt. 159,60,1,186.92,available,villa,2,1,1576,Jacksonview,2.8,3.8,2020-09-22,2024-09-18 04:13:54.974118
36,66,Accommodation 36,"Guy such listen rest. Maintain bank those admit simple. Head than data discussion new image and.
Either total reveal. Condition official of response system bad. Six dinner than direction cup develop.",7888 Johnston Pines Apt. 383,19,16,77.12,available,house,1,3,2604,South Crystal,3.1,4.8,2023-05-21,2024-05-25 20:45:18.125317
