ActionID,AdminID,ActionDescription,ActionDate
1,1,Banned a user,2024-03-01
2,1,Banned a user,2024-10-06
3,1,Changed booking status,2024-07-13
4,1,Approved new accommodation,2024-10-07
5,1,Changed booking status,2024-01-02
6,1,Approved new accommodation,2024-07-27
7,1,Updated user profile,2024-05-22
8,1,Reviewed system logs,2024-10-06
9,1,Reviewed system logs,2024-05-26
10,1,Deleted a comment,2024-11-20
11,2,Deleted a comment,2024-10-10
12,2,Updated user profile,2024-04-06
13,2,Updated user profile,2024-08-26
14,2,Approved new accommodation,2024-01-26
15,2,Changed booking status,2024-07-24
16,2,Updated user profile,2024-12-01
17,2,Moderated a review,2024-01-26
18,2,Banned a user,2024-02-15
19,2,Resolved a user complaint,2024-10-03
20,2,Changed booking status,2024-10-21
21,3,Reviewed system logs,2024-11-07
22,3,Banned a user,2024-03-17
23,3,Moderated a review,2024-05-22
24,3,Updated user profile,2024-08-24
25,3,Moderated a review,2024-02-27
26,3,Changed booking status,2024-01-03
27,3,Resolved a user complaint,2024-06-24
28,3,Updated user profile,2024-07-13
29,3,Updated user profile,2024-05-10
30,3,Updated user profile,2024-06-30
31,4,Changed booking status,2024-01-08
32,4,Changed booking status,2024-04-27
33,4,Changed booking status,2024-06-12
34,4,Moderated a review,2024-08-17
35,4,Moderated a review,2024-10-04
36,4,Reviewed system logs,2024-07-23
37,4,Updated user profile,2024-10-02
38,4,Resolved a user complaint,2024-01-26
39,4,Deleted a comment,2024-05-06
40,4,Updated user profile,2024-04-02
41,5,Changed booking status,2024-05-25
42,5,Approved new accommodation,2024-09-18
43,5,Deleted a comment,2024-10-20
44,5,Updated user profile,2024-05-20
45,5,Banned a user,2024-02-17
46,5,Approved new accommodation,2024-08-14
47,5,Reviewed system logs,2024-01-16
48,5,Changed booking status,2024-03-09
49,5,Resolved a user complaint,2024-04-08
50,5,Banned a user,2024-01-04
51,6,Banned a user,2024-03-14
52,6,Moderated a review,2024-07-15
53,6,Approved new accommodation,2024-11-15
54,6,Updated user profile,2024-09-17
55,6,Deleted a comment,2024-04-15
56,6,Resolved a user complaint,2024-07-20
57,6,Changed booking status,2024-11-11
58,6,Deleted a comment,2024-04-09
59,6,Moderated a review,2024-02-01
60,6,Changed booking status,2024-08-14
61,7,Updated user profile,2024-07-22
62,7,Reviewed system logs,2024-08-15
63,7,Reviewed system logs,2024-07-30
64,7,Updated user profile,2024-11-02
65,7,Resolved a user complaint,2024-06-08
66,7,Banned a user,2024-06-18
67,7,Approved new accommodation,2024-02-07
68,7,Banned a user,2024-10-13
69,7,Moderated a review,2024-12-10
70,7,Reviewed system logs,2024-04-23
71,8,Resolved a user complaint,2024-09-29
72,8,Reviewed system logs,2024-08-08
73,8,Changed booking status,2024-07-09
74,8,Reviewed system logs,2024-02-02
75,8,Changed booking status,2024-11-18
76,8,Deleted a comment,2024-02-16
77,8,Banned a user,2024-03-26
78,8,Resolved a user complaint,2024-06-23
79,8,Approved new accommodation,2024-08-14
80,8,Resolved a user complaint,2024-01-16
81,9,Banned a user,2024-07-10
82,9,Updated user profile,2024-07-05
83,9,Updated user profile,2024-06-03
84,9,Moderated a review,2024-08-13
85,9,Changed booking status,2024-09-28
86,9,Banned a user,2024-02-08
87,9,Moderated a review,2024-07-10
88,9,Approved new accommodation,2024-10-23
89,9,Banned a user,2024-06-26
90,9,Reviewed system logs,2024-03-03
91,10,Approved new accommodation,2024-03-29
92,10,Banned a user,2024-10-21
93,10,Moderated a review,2024-09-06
94,10,Approved new accommodation,2024-10-23
95,10,Approved new accommodation,2024-05-31
96,10,Approved new accommodation,2024-07-06
97,10,Resolved a user complaint,2024-02-28
98,10,Updated user profile,2024-03-10
99,10,Resolved a user complaint,2024-06-14
100,10,Resolved a user complaint,2024-05-15
101,11,Approved new accommodation,2024-07-02
102,11,Resolved a user complaint,2024-11-23
103,11,Approved new accommodation,2024-01-27
104,11,Reviewed system logs,2024-01-03
105,11,Approved new accommodation,2024-05-15
106,11,Banned a user,2024-11-04
107,11,Changed booking status,2024-02-15
108,11,Moderated a review,2024-09-05
109,11,Reviewed system logs,2024-02-04
110,11,Deleted a comment,2024-11-24
111,12,Changed booking status,2024-08-14
112,12,Changed booking status,2024-10-11
113,12,Approved new accommodation,2024-03-14
114,12,Reviewed system logs,2024-03-01
115,12,Changed booking status,2024-11-05
116,12,Deleted a comment,2024-02-25
117,12,Changed booking status,2024-01-20
118,12,Approved new accommodation,2024-05-04
119,12,Resolved a user complaint,2024-11-12
120,12,Resolved a user complaint,2024-09-03
121,13,Resolved a user complaint,2024-08-31
122,13,Banned a user,2024-06-24
123,13,Deleted a comment,2024-03-11
124,13,Changed booking status,2024-11-08
125,13,Banned a user,2024-03-30
126,13,Reviewed system logs,2024-06-08
127,13,Changed booking status,2024-06-03
128,13,Changed booking status,2024-08-05
129,13,Resolved a user complaint,2024-07-07
130,13,Resolved a user complaint,2024-10-11
131,14,Changed booking status,2024-07-16
132,14,Reviewed system logs,2024-12-14
133,14,Approved new accommodation,2024-07-25
134,14,Approved new accommodation,2024-02-11
135,14,Moderated a review,2024-06-08
136,14,Banned a user,2024-09-21
137,14,Approved new accommodation,2024-09-11
138,14,Changed booking status,2024-06-08
139,14,Deleted a comment,2024-11-01
140,14,Banned a user,2024-09-23
141,15,Updated user profile,2024-01-27
142,15,Deleted a comment,2024-06-23
143,15,Resolved a user complaint,2024-07-08
144,15,Banned a user,2024-04-18
145,15,Updated user profile,2024-03-29
146,15,Banned a user,2024-10-16
147,15,Deleted a comment,2024-07-10
148,15,Resolved a user complaint,2024-05-12
149,15,Updated user profile,2024-04-16
150,15,Deleted a comment,2024-05-31
151,16,Reviewed system logs,2024-09-03
152,16,Deleted a comment,2024-04-09
153,16,Approved new accommodation,2024-03-03
154,16,Approved new accommodation,2024-04-04
155,16,Moderated a review,2024-07-04
156,16,Resolved a user complaint,2024-03-19
157,16,Changed booking status,2024-09-05
158,16,Changed booking status,2024-04-15
159,16,Updated user profile,2024-11-03
160,16,Reviewed system logs,2024-09-12
161,17,Approved new accommodation,2024-04-21
162,17,Approved new accommodation,2024-06-18
163,17,Moderated a review,2024-03-13
164,17,Deleted a comment,2024-04-27
165,17,Resolved a user complaint,2024-11-03
166,17,Deleted a comment,2024-02-03
167,17,Moderated a review,2024-10-31
168,17,Updated user profile,2024-04-15
169,17,Changed booking status,2024-03-06
170,17,Deleted a comment,2024-11-23
171,18,Updated user profile,2024-09-03
172,18,Updated user profile,2024-08-15
173,18,Resolved a user complaint,2024-05-05
174,18,Updated user profile,2024-02-06
175,18,Deleted a comment,2024-01-11
176,18,Moderated a review,2024-04-21
177,18,Reviewed system logs,2024-08-03
178,18,Resolved a user complaint,2024-12-07
179,18,Deleted a comment,2024-04-18
180,18,Approved new accommodation,2024-08-29
181,19,Resolved a user complaint,2024-01-15
182,19,Banned a user,2024-02-29
183,19,Changed booking status,2024-04-28
184,19,Approved new accommodation,2024-06-27
185,19,Reviewed system logs,2024-11-03
186,19,Resolved a user complaint,2024-07-29
187,19,Updated user profile,2024-07-25
188,19,Approved new accommodation,2024-09-15
189,19,Reviewed system logs,2024-06-20
190,19,Banned a user,2024-12-16
191,20,Banned a user,2024-04-19
192,20,Deleted a comment,2024-01-14
