BookingID,GuestID,AccommodationID,CheckInDate,CheckOutDate,TotalAmount,BookingStatus,DiscountApplied,PaymentStatus,CreatedAt,UpdatedAt
1,121,3,2024-06-10,2024-06-11,133.77,cancelled,0.91,unpaid,2024-12-19 17:15:56.223767,2024-12-19 17:15:56.223784
2,121,10,2024-06-21,2024-06-23,280.56,confirmed,0.0,failed,2024-12-19 17:15:56.223973,2024-12-19 17:15:56.223975
3,122,25,2024-06-01,2024-06-03,104.98,confirmed,15.5,failed,2024-12-19 17:15:56.224170,2024-12-19 17:15:56.224172
4,122,12,2024-06-20,2024-06-26,2188.86,confirmed,0.0,paid,2024-12-19 17:15:56.224321,2024-12-19 17:15:56.224323
5,124,13,2024-06-23,2024-06-27,1464.5,confirmed,18.17,unpaid,2024-12-19 17:15:56.224512,2024-12-19 17:15:56.224514
6,125,22,2024-06-09,2024-06-14,2019.95,confirmed,0.99,failed,2024-12-19 17:15:56.224683,2024-12-19 17:15:56.224685
7,126,27,2024-06-28,2024-06-29,357.42,cancelled,0.0,failed,2024-12-19 17:15:56.224844,2024-12-19 17:15:56.224846
8,126,25,2024-06-06,2024-06-07,54.3,confirmed,12.59,failed,2024-12-19 17:15:56.224989,2024-12-19 17:15:56.224990
9,127,46,2024-06-10,2024-06-15,1699.84,confirmed,4.8,paid,2024-12-19 17:15:56.225149,2024-12-19 17:15:56.225150
10,128,8,2024-06-03,2024-06-09,2817.6,confirmed,0.0,unpaid,2024-12-19 17:15:56.225306,2024-12-19 17:15:56.225307
11,128,41,2024-06-19,2024-06-22,1272.96,confirmed,10.96,paid,2024-12-19 17:15:56.225445,2024-12-19 17:15:56.225446
12,129,28,2024-06-25,2024-06-29,1367.32,pending,0.0,paid,2024-12-19 17:15:56.225605,2024-12-19 17:15:56.225606
13,130,16,2024-06-25,2024-06-27,660.44,confirmed,3.51,unpaid,2024-12-19 17:15:56.225761,2024-12-19 17:15:56.225763
14,130,42,2024-06-20,2024-06-25,2405.4,confirmed,0.0,paid,2024-12-19 17:15:56.225897,2024-12-19 17:15:56.225898
15,131,46,2024-06-22,2024-06-23,314.79,confirmed,11.85,paid,2024-12-19 17:15:56.226179,2024-12-19 17:15:56.226181
16,132,50,2024-06-15,2024-06-19,1632.2,confirmed,2.91,paid,2024-12-19 17:15:56.226585,2024-12-19 17:15:56.226587
17,132,42,2024-06-13,2024-06-16,1443.24,confirmed,0.0,unpaid,2024-12-19 17:15:56.226720,2024-12-19 17:15:56.226722
18,133,27,2024-06-13,2024-06-17,1335.61,confirmed,6.58,unpaid,2024-12-19 17:15:56.226879,2024-12-19 17:15:56.226881
19,133,35,2024-06-08,2024-06-09,160.6,cancelled,14.08,unpaid,2024-12-19 17:15:56.227014,2024-12-19 17:15:56.227015
20,134,25,2024-06-09,2024-06-14,289.88,confirmed,6.67,failed,2024-12-19 17:15:56.227169,2024-12-19 17:15:56.227171
21,135,30,2024-06-16,2024-06-18,277.02,confirmed,19.24,unpaid,2024-12-19 17:15:56.227326,2024-12-19 17:15:56.227328
22,136,24,2024-06-25,2024-06-28,1260.37,cancelled,7.03,unpaid,2024-12-19 17:15:56.227483,2024-12-19 17:15:56.227485
23,136,9,2024-06-13,2024-06-16,1367.67,confirmed,0.0,failed,2024-12-19 17:15:56.227615,2024-12-19 17:15:56.227617
24,137,38,2024-06-22,2024-06-24,633.84,pending,8.51,failed,2024-12-19 17:15:56.227771,2024-12-19 17:15:56.227773
25,137,9,2024-06-25,2024-06-26,454.11,cancelled,0.39,failed,2024-12-19 17:15:56.227909,2024-12-19 17:15:56.227910
26,138,9,2024-06-10,2024-06-13,1110.82,confirmed,18.78,paid,2024-12-19 17:15:56.228189,2024-12-19 17:15:56.228191
27,140,1,2024-06-11,2024-06-12,311.49,confirmed,18.23,paid,2024-12-19 17:15:56.228363,2024-12-19 17:15:56.228365
