BookingID,Amount
2,42.08
3,15.75
4,109.44
5,73.23
6,101.0
8,8.14
9,84.99
10,140.88
11,63.65
13,66.04
14,120.27
15,47.22
16,81.61
17,72.16
18,66.78
20,43.48
21,41.55
23,68.38
26,55.54
27,46.72
28,57.32
31,66.96
32,122.74
33,57.45
34,62.52
36,39.83
37,52.27
38,69.14
41,58.0
42,59.62
44,59.2
45,39.63
46,14.47
47,65.26
49,77.31
50,41.27
51,58.53
52,70.5
53,59.49
54,58.73
55,22.29
56,59.1
59,47.15
60,66.29
62,118.09
64,65.55
66,70.02
67,79.27
68,43.53
72,85.75
74,119.14
75,105.07
76,56.82
78,54.63
79,73.51
80,103.92
81,68.56
84,44.0
85,9.8
86,66.29
87,68.45
88,122.74
89,65.64
94,66.2
95,70.04
96,61.2
99,99.29
100,53.95
101,53.85
102,31.47
103,77.39
104,56.61
105,88.1
107,46.16
108,57.89
110,102.55
111,123.12
117,98.99
118,56.38
119,50.16
121,72.16
122,61.7
125,79.77
126,54.86
128,96.21
131,65.08
132,76.98
133,74.91
134,93.92
135,50.61
138,9.97
144,57.25
145,105.79
146,80.07
147,16.57
148,58.61
149,50.71
150,72.52
152,55.29
156,10.46
157,68.45
158,126.82
160,72.43
163,30.51
164,25.72
165,132.4
166,24.54
167,12.06
168,76.14
171,34.74
172,74.44
173,76.73
174,68.75
176,48.35
180,65.41
182,59.13
183,105.67
185,74.17
187,100.45
190,59.48
194,69.59
195,63.72
196,74.59
198,11.67
201,78.5
202,64.83
203,9.77
204,81.8
206,95.21
207,18.89
209,18.64
211,55.18
212,70.25
213,77.23
214,73.02
215,40.69
216,29.0
217,46.48
220,31.63
221,62.22
223,62.65
224,64.23
227,123.42
229,53.83
231,89.36
232,69.71
233,20.25
234,74.5
235,52.35
236,65.4
239,68.37
240,51.75
241,76.06
244,136.33
245,55.58
252,61.17
254,44.68
257,77.31
258,72.07
263,68.78
264,53.31
265,67.78
266,101.52
267,70.85
269,28.04
270,52.08
271,90.38
272,68.17
273,68.54
276,8.9
278,48.52
280,111.67
281,48.06
283,41.24
284,62.7
290,43.93
291,52.15
293,70.55
294,48.35
295,64.52
296,59.28
297,70.02
298,72.52
299,37.71
300,72.36
301,56.97
302,67.44
303,61.39
304,68.71
307,51.01
309,51.19
311,18.87
315,17.91
316,99.14
317,21.31
319,96.22
320,74.1
321,63.41
322,25.47
