PriceID,AccommodationID,Amount
1,1,58.25
2,2,182.9
3,3,164.43
4,4,347.9
5,5,93.72
6,6,176.76
7,7,156.06
8,8,250.0
9,9,99.5
10,10,147.9
11,11,197.1
12,12,200.94
13,13,111.0
14,14,97.55
15,15,213.44
16,16,293.3
17,17,65.68
18,18,99.2
19,19,128.72
20,20,285.2
21,21,137.1
22,22,233.76
23,23,50.0
24,24,111.2
25,25,190.64
26,26,153.12
27,27,56.28
28,28,269.46
29,29,78.05
30,30,291.84
31,31,54.24
32,32,210.0
33,33,106.8
34,34,274.5
35,35,213.6
36,36,257.92
37,37,181.9
38,38,270.54
39,39,108.4
40,40,100.72
41,41,88.38
42,42,318.9
43,43,245.34
44,44,241.76
45,45,193.56
46,46,247.95
47,47,146.9
48,48,369.6
49,49,137.52
50,50,287.1
