TransactionID,PaymentID,TransactionDate,TransactionType,Amount,PaymentMethod
1,15,2024-12-07,Debit,314.79,PayPal
2,45,2024-08-06,Credit,264.22,Bank Transfer
3,263,2024-12-16,Credit,458.55,Cryptocurrency
4,213,2024-06-05,Debit,772.32,Bank Transfer
5,301,2024-10-02,Debit,1139.4,PayPal
6,27,2024-08-25,Credit,311.49,Cryptocurrency
7,222,2024-04-26,Credit,715.13,Credit Card
8,9,2024-03-22,Debit,1699.84,PayPal
9,37,2024-09-15,Credit,1045.34,Cryptocurrency
10,225,2024-07-24,Debit,229.28,Credit Card
11,176,2024-10-30,Credit,322.32,Cryptocurrency
12,107,2024-05-03,Debit,307.73,PayPal
13,213,2024-04-08,Credit,772.32,Credit Card
14,58,2024-01-04,Debit,114.49,Debit Card
15,90,2024-11-15,Debit,472.56,PayPal
16,270,2024-05-19,Debit,520.84,PayPal
17,315,2024-04-09,Debit,119.38,Credit Card
18,301,2024-11-21,Credit,1139.4,Credit Card
19,305,2024-08-23,Credit,388.05,Cryptocurrency
20,74,2024-08-31,Credit,2382.75,Bank Transfer
21,298,2024-04-25,Credit,483.48,Credit Card
22,80,2024-08-17,Credit,2078.4,Bank Transfer
23,9,2024-04-29,Credit,1699.84,Debit Card
24,79,2024-11-27,Credit,735.06,Debit Card
25,202,2024-02-17,Debit,432.23,Credit Card
26,152,2024-02-20,Debit,368.6,Credit Card
27,250,2024-09-10,Debit,404.53,Debit Card
28,90,2024-08-23,Credit,472.56,Bank Transfer
29,91,2024-04-29,Debit,2169.76,Debit Card
30,234,2024-01-25,Credit,496.66,Bank Transfer
31,37,2024-01-11,Credit,1045.34,Credit Card
32,84,2024-01-02,Debit,293.31,Debit Card
33,58,2024-10-24,Debit,114.49,Debit Card
34,315,2024-12-04,Credit,119.38,PayPal
35,304,2024-05-31,Debit,458.05,Bank Transfer
36,74,2024-03-21,Credit,2382.75,Bank Transfer
37,47,2024-05-18,Credit,435.06,Bank Transfer
38,99,2024-04-13,Debit,1985.73,PayPal
39,75,2024-09-02,Debit,2101.4,PayPal
40,41,2024-08-11,Debit,1159.94,Cryptocurrency
41,232,2024-12-14,Debit,1394.24,Credit Card
